MD,ELECT_DENS,TEMP,Oxi,Nit,Hyd,Hel,O2,NO
-826.0,5090,763,170,23,709,98,0,0
-828.0,5055,763,169,23,710,98,0,0
-830.0,5021,763,167,23,711,98,0,0
-832.0,4987,763,166,23,712,99,0,0
-834.0,4953,763,164,23,714,99,0,0
-836.0,4920,763,163,23,715,99,0,0
-838.0,4887,763,162,23,716,99,0,0
-840.0,4854,763,160,23,717,99,0,0
-842.0,4822,763,159,23,719,100,0,0
-844.0,4790,763,158,23,720,100,0,0
-846.0,4758,763,156,23,721,100,0,0
-848.0,4727,763,155,23,722,100,0,0
-850.0,4696,763,154,23,723,101,0,0
-852.0,4665,763,152,23,724,101,0,0
-854.0,4634,763,151,23,725,101,0,0
-856.0,4604,763,150,23,727,101,0,0
-858.0,4574,763,148,22,728,101,0,0
-860.0,4545,763,147,22,729,102,0,0
-862.0,4516,763,146,22,730,102,0,0
-864.0,4487,763,145,22,731,102,0,0
-866.0,4458,763,143,22,732,102,0,0
-868.0,4430,763,142,22,733,102,0,0
-870.0,4402,763,141,22,734,103,0,0
-872.0,4374,763,140,22,735,103,0,0
-874.0,4346,763,139,22,736,103,0,0
-876.0,4319,763,137,22,738,103,0,0
-878.0,4292,763,136,22,739,103,0,0
-880.0,4265,763,135,22,740,104,0,0
-882.0,4239,763,134,22,741,104,0,0
-884.0,4212,763,133,22,742,104,0,0
-886.0,4186,763,131,22,743,104,0,0
-888.0,4161,763,130,22,744,104,0,0
-890.0,4135,763,129,22,745,105,0,0
-892.0,4110,763,128,22,746,105,0,0
-894.0,4085,763,127,21,747,105,0,0
-896.0,4060,763,126,21,748,105,0,0
-898.0,4035,763,125,21,749,105,0,0
-900.0,4011,763,124,21,750,105,0,0
-902.0,3987,763,122,21,751,106,0,0
-904.0,3963,763,121,21,752,106,0,0
-906.0,3939,763,120,21,753,106,0,0
-908.0,3916,763,119,21,754,106,0,0
-910.0,3893,763,118,21,755,106,0,0
-912.0,3870,763,117,21,755,106,0,0
-914.0,3847,763,116,21,756,107,0,0
-916.0,3824,763,115,21,757,107,0,0
-918.0,3802,763,114,21,758,107,0,0
-920.0,3780,763,113,21,759,107,0,0
-922.0,3758,763,112,21,760,107,0,0
-924.0,3736,763,111,21,761,108,0,0
-926.0,3714,763,110,21,762,108,0,0
-928.0,3693,763,109,20,763,108,0,0
-930.0,3672,763,108,20,764,108,0,0
-932.0,3651,763,107,20,765,108,0,0
-934.0,3630,763,106,20,765,108,0,0
-936.0,3609,763,105,20,766,108,0,0
-938.0,3589,763,104,20,767,109,0,0
-940.0,3568,763,103,20,768,109,0,0
-942.0,3548,763,102,20,769,109,0,0
-944.0,3528,763,101,20,770,109,0,0
-946.0,3509,763,100,20,771,109,0,0
-948.0,3489,763,99,20,771,109,0,0
-950.0,3470,763,98,20,772,110,0,0
-952.0,3450,763,98,20,773,110,0,0
-954.0,3431,763,97,20,774,110,0,0
-956.0,3412,763,96,20,775,110,0,0
-958.0,3394,763,95,20,775,110,0,0
-960.0,3375,763,94,19,776,110,0,0
-962.0,3357,763,93,19,777,110,0,0
-964.0,3338,763,92,19,778,111,0,0
-966.0,3320,763,91,19,779,111,0,0
-968.0,3302,763,90,19,780,111,0,0
-970.0,3285,763,89,19,781,111,0,0
-972.0,3267,763,89,19,781,111,0,0
-974.0,3250,763,88,19,782,111,0,0
-976.0,3232,763,87,19,783,111,0,0
-978.0,3215,763,86,19,784,111,0,0
-980.0,3198,763,85,19,785,111,0,0
-982.0,3181,763,84,19,785,112,0,0
-984.0,3164,763,83,19,786,112,0,0
-986.0,3148,763,83,19,787,112,0,0
-988.0,3131,763,82,19,788,112,0,0
-990.0,3115,763,81,19,789,112,0,0
-992.0,3099,763,80,18,789,112,0,0
-994.0,3082,763,79,18,790,112,0,0
-996.0,3066,763,78,18,791,112,0,0
-998.0,3051,763,78,18,792,112,0,0
-1000.0,3035,763,77,18,792,113,0,0
-1002.0,3019,763,76,18,793,113,0,0
-1004.0,3004,763,75,18,794,113,0,0
-1006.0,2989,763,75,18,794,113,0,0
-1008.0,2973,763,74,18,795,113,0,0
-1010.0,2958,763,73,18,796,113,0,0
-1012.0,2943,763,72,18,797,113,0,0
-1014.0,2929,763,72,18,797,113,0,0
-1016.0,2914,763,71,18,798,113,0,0
-1018.0,2899,763,70,18,799,114,0,0
-1020.0,2885,763,69,18,799,114,0,0
-1022.0,2870,763,69,18,800,114,0,0
-1024.0,2856,763,68,17,801,114,0,0
-1026.0,2842,763,67,17,801,114,0,0
-1028.0,2828,763,67,17,802,114,0,0
-1030.0,2814,763,66,17,803,114,0,0
-1032.0,2800,763,65,17,803,114,0,0
-1034.0,2787,763,65,17,804,114,0,0
-1036.0,2773,763,64,17,805,114,0,0
-1038.0,2760,763,63,17,805,114,0,0
-1040.0,2746,763,63,17,806,115,0,0
-1042.0,2733,763,62,17,806,115,0,0
-1044.0,2720,763,61,17,807,115,0,0
-1046.0,2707,763,61,17,808,115,0,0
-1048.0,2694,763,60,17,808,115,0,0
-1050.0,2681,763,60,17,809,115,0,0
-1052.0,2668,763,59,17,809,115,0,0
-1054.0,2656,763,58,17,810,115,0,0
-1056.0,2643,763,58,16,811,115,0,0
-1058.0,2630,763,57,16,811,115,0,0
-1060.0,2618,763,57,16,812,115,0,0
-1062.0,2606,763,56,16,812,115,0,0
-1064.0,2594,763,55,16,813,116,0,0
-1066.0,2582,763,55,16,813,116,0,0
-1068.0,2569,763,54,16,814,116,0,0
-1070.0,2558,763,54,16,815,116,0,0
